ano;semestre;unidade;curso;qtd_ingressos;qtd_egressos;evasao
2025;2;CPAQ;Letras - Português e Espanhol;2;2.0;0.0
2025;2;CPAQ;Letras - Português e Inglês;2;7.0;-250.0
2025;2;CPAQ;Matemática;1;7.0;-600.0
2025;2;CPAR;Matemática - Licenciatura;3;4.0;-33.3
2025;2;CPAR;Psicologia - Bacharelado;5;15.0;-200.0
2025;2;CPCS;Engenharia Florestal - Bacharelado;2;4.0;-100.0
2025;2;CPCX;Letras - Português - Licenciatura;1;11.0;-1000.0
2025;2;CPCX;Sistemas de Informação - Bacharelado;2;8.0;-300.0
2025;2;CPNA;Engenharia de Produção;1;6.0;-500.0
2025;2;CPNA;História - Licenciatura;1;4.0;-300.0
2025;2;CPNV;Arquitetura e Urbanismo;2;19.0;-850.0
2025;2;CPNV;Pedagogia;3;1.0;66.7
2025;2;CPPP;Sistemas de Informação - Bacharelado;2;2.0;0.0
2025;2;CPTL;Enfermagem;5;29.0;-480.0
2025;2;CPTL;Geografia;1;8.0;-700.0
2025;2;CPTL;Letras - Português e Espanhol;1;8.0;-700.0
2025;2;CPTL;Letras - Português e Literatura;3;10.0;-233.3
2025;2;CPTL;Matemática;3;2.0;33.3
2025;2;CPTL;Sistemas de Informação;9;4.0;55.6
2025;2;ESAN;Administração - Bacharelado;4;29.0;-625.0
2025;2;ESAN;Turismo - Bacharelado;9;9.0;0.0
2025;2;FAALC;Audiovisual;5;15.0;-200.0
2025;2;FAALC;Letras - Português e Inglês - Licenciatura;1;19.0;-1800.0
2025;2;FACFAN;Engenharia de Alimentos;6;4.0;33.3
2025;2;FACH;História;9;2.0;77.8
2025;2;FACH;História - Licenciatura;10;16.0;-60.0
2025;2;FACH;Psicologia - Bacharelado;1;6.0;-500.0
2025;2;FACOM;Ciência da Computação;4;21.0;-425.0
2025;2;FACOM;Engenharia de Computação;4;21.0;-425.0
2025;2;FACOM;Engenharia de Software;4;35.0;-775.0
2025;2;FACOM;Sistemas de Informação;4;25.0;-525.0
2025;2;FADIR;Direito;66;58.0;12.1
2025;2;FAED;Pedagogia;49;22.0;55.1
